Date,Close,High,Low,Open,Volume
2020-01-02,5.970754623413086,5.970754623413086,5.891363982921088,5.941885342751538,237536000
2020-01-03,5.875185966491699,5.918988068029837,5.826157518294826,5.851045086775378,205384000
2020-01-06,5.899825572967529,5.905051920734205,5.755727427577195,5.781859166410573,262636000
2020-01-07,5.97125244140625,6.017045403475826,5.883150748902034,5.928197022093987,314856000
2020-01-08,5.982451915740967,6.023765219861093,5.926952946804154,5.967021611212417,277108000
2020-01-09,6.048154830932617,6.1205774820472,5.994397977935121,6.068811482955992,255112000
2020-01-10,6.080508232116699,6.185782344219764,6.06632256758394,6.155419686593314,316296000
2020-01-13,6.271146297454834,6.296282606868379,6.140984617283319,6.16363259678268,319840000
2020-01-14,6.1541748046875,6.253724606953968,6.140984093935381,6.22833908695966,359088000
2020-01-15,6.111616611480713,6.189265596413675,6.085733616503059,6.166866832502594,263104000
2020-01-16,6.195239067077637,6.201212102853012,6.141730957829296,6.165125150161636,284192000
2020-01-17,6.203948974609375,6.221868079998157,6.1564139062757155,6.214401667413449,253792000
2020-01-21,6.170600414276123,6.204198560894106,6.13650431691283,6.16736492115884,217916000
2020-01-22,6.224607944488525,6.3112162741432725,6.196982824716818,6.2158973639020445,239240000
2020-01-23,6.293046951293945,6.301508791795194,6.175827247965222,6.264675623846474,244516000
2020-01-24,6.2338151931762695,6.4583003373897805,6.179560391908617,6.408525194546055,373512000
2020-01-27,5.97797155380249,6.0289908580944,5.779618159624937,5.929191841222907,470536000
2020-01-28,6.171349048614502,6.203702565914356,5.990665498811657,6.043924884260092,310976000
2020-01-29,6.110871315002441,6.19299997011159,6.071050915088323,6.1569130145371735,258848000
2020-01-30,6.117589950561523,6.131029399451764,5.958061527643845,6.01306253868388,290504000
2020-01-31,5.884145736694336,6.083743301311046,5.842334960195534,6.071797229542552,370420000
2020-02-03,5.981208324432373,6.000620338642555,5.859757205155272,5.865978980238484,255564000
2020-02-04,6.1504411697387695,6.169604915500799,6.073041396690385,6.123065271647515,271544000
2020-02-05,6.240784645080566,6.281600002852796,6.1574113388102445,6.271396044736984,208220000
2020-02-06,6.327640533447266,6.327640533447266,6.193995099773727,6.27512832406216,218284000
2020-02-07,6.261441230773926,6.309723003033855,6.236055704809275,6.287572971010172,189752000
2020-02-10,6.5446600914001465,6.545406305582232,6.279110375824013,6.284087985183651,529608000
2020-02-11,6.667105197906494,6.781836561422516,6.5909495893900365,6.652919535414561,638556000
2020-02-12,6.782832622528076,6.789303609316135,6.6810427471678455,6.719867243823403,374644000
2020-02-13,6.7390313148498535,6.806227621791376,6.6974692706660415,6.724845649351327,528016000
2020-02-14,7.212141990661621,7.341059034322316,7.117818524879411,7.149176609223402,1041924000
2020-02-18,7.38087797164917,7.39929502877194,7.089445772386045,7.108857781612772,620164000
2020-02-19,7.832088947296143,7.849759318235343,7.503325584326226,7.503325584326226,694332000
2020-02-20,7.682764530181885,7.872406892694111,7.375404030472952,7.784056461298665,810052000
2020-02-21,7.318660259246826,7.595658094730664,7.2337940614080205,7.570521784732128,768180000
2020-02-24,6.8012495040893555,7.015033220439057,6.669843655720504,6.724347196251177,856916000
2020-02-25,6.521762847900391,6.9383791289907055,6.419972975741394,6.876409179119824,1055496000
