Date,Close,High,Low,Open,Volume
2020-01-02,67.87303161621094,67.87303161621094,66.77262930429765,66.86784303993142,27278000
2020-01-03,67.51795959472656,68.12445054033702,66.81378055903824,66.84750602902096,23408000
2020-01-06,69.31758880615234,69.34287723228258,66.99627473144326,67.02751070483214,46768000
2020-01-07,69.1836929321289,69.59975639798446,69.00765007438353,69.44900196622598,34330000
2020-01-08,69.6761245727539,70.01383328257931,69.06071230813146,69.16931180182212,35314000
2020-01-09,70.40758514404297,70.84843766453115,69.93250773983897,70.51370271406968,33200000
2020-01-10,70.8623275756836,71.15888019723822,70.39816911178163,70.887623572567,26258000
2020-01-13,71.41130065917969,71.4832009224904,70.68430742640342,71.17425376918445,30730000
2020-01-14,70.94316101074219,71.54022369151787,70.80331039967703,71.40980138157744,26076000
2020-01-15,71.37013244628906,71.44848723259247,70.99622386006052,71.06366724106702,21550000
2020-01-16,71.91362762451172,71.94040671901234,71.40978868488912,71.6800539909866,26080000
2020-01-17,73.36959838867188,73.42067465653932,72.23051437982828,72.52755882003636,52424000
2020-01-21,73.50497436523438,73.88334730517278,72.90790422686986,73.34380038673889,48930000
2020-01-22,73.5853042602539,74.4139579504841,73.52530667909919,73.87590926772613,28458000
2020-01-23,73.6259765625,74.06287159574599,73.4092694223647,73.76780967939291,26650000
2020-01-24,72.70757293701172,74.097581382054,72.559292859008,74.02914675123824,29786000
2020-01-27,70.99969482421875,71.2402073113937,70.3932038265922,70.99027408970458,34132000
2020-01-28,71.93050384521484,72.14373782775851,70.93175461327948,71.49609068205544,29724000
2020-01-29,72.23795318603516,72.60690544755049,71.67709035915647,72.32522928653594,21566000
2020-01-30,72.116455078125,72.16604067283447,71.16184346943253,71.31557167668379,27110000
2020-01-31,71.05175018310547,72.88112787586384,70.76809153712954,72.79136985685548,43822000
2020-02-03,73.5223388671875,73.70582753071683,72.23349161238843,72.48342482845398,71636000
2020-02-04,71.67808532714844,72.76559372087249,70.51866911081403,72.12836616478646,95880000
2020-02-05,71.7098159790039,72.62871964997271,70.89802869966074,72.58061715621994,36376000
2020-02-06,73.19356536865234,73.47077712052415,71.92951458765228,72.00389677738615,37822000
2020-02-07,73.34927368164062,73.65375637066822,72.6698911484849,72.76807866240974,28360000
2020-02-10,74.81465911865234,74.82557052333453,73.15537648833067,73.25604592514885,38302000
